Date,AI_Ret_%,SPY_Ret_%,Alpha_%,Max_DD_%,Exposure_%,Gross_Exposure_%,Net_Exposure_%,AI_Equity,SPY_Equity,Equity_Diff
2024-01,-1.15,2.16,-3.31,-1.38,13.34,13.34,-73.33,98846.41,102164.38,-3317.97
2024-02,1.38,5.22,-3.84,-0.96,13.32,13.32,-73.36,100208.11,107496.02,-7287.92
2024-03,2.95,3.27,-0.32,-0.48,31.79,31.79,-36.42,103160.57,111011.35,-7850.78
2024-04,-5.07,-4.03,-1.04,-6.15,44.34,44.34,-11.31,97935.19,106535.42,-8600.23
2024-05,4.43,5.06,-0.63,-5.1,28.18,28.18,-43.64,102273.32,111923.96,-9650.64
2024-06,1.91,3.53,-1.62,-0.61,11.28,11.28,-77.44,104224.67,115872.66,-11647.99
2024-07,4.16,1.21,2.95,-1.15,31.7,31.7,-36.59,108564.0,117275.75,-8711.75
2024-08,4.46,2.34,2.12,-4.49,33.1,33.1,-33.79,113407.99,120015.98,-6607.99
2024-09,5.68,2.1,3.58,-1.0,60.93,60.93,21.86,119850.38,122536.86,-2686.48
2024-10,9.35,-0.89,10.24,-2.18,47.71,47.71,-4.58,131058.89,121443.41,9615.48
2024-11,28.62,5.96,22.66,-5.16,28.54,28.54,-42.92,168573.6,128685.5,39888.1
2024-12,-1.24,-2.41,1.17,-10.5,72.9,72.9,45.8,166489.52,125589.3,40900.23
2025-01,1.15,2.69,-1.54,-10.02,77.28,77.28,54.56,168400.82,128962.18,39438.64
2025-02,-2.5,-1.27,-1.23,-11.25,16.08,16.08,-67.83,164192.06,127325.01,36867.05
2025-03,0.44,-5.57,6.01,-11.11,9.19,9.19,-81.62,164912.1,120230.57,44681.52
2025-04,1.32,-0.87,2.19,-12.51,29.1,29.1,-41.79,167094.75,119188.15,47906.6
2025-05,0.16,6.28,-6.12,-12.24,35.79,35.79,-28.43,167370.17,126678.52,40691.65
2025-06,-1.39,5.14,-6.53,-10.84,95.24,95.24,90.48,165048.11,133188.05,31860.05
2025-07,5.4,2.3,3.1,-8.34,56.14,56.14,12.29,173961.15,136255.57,37705.58
2025-08,8.5,2.05,6.45,-7.19,77.78,77.78,55.56,188753.28,139051.47,49701.81
2025-09,-0.82,3.56,-4.38,-2.63,9.91,9.91,-80.18,187201.05,144004.54,43196.51
2025-10,9.3,2.38,6.92,-3.57,68.01,68.01,36.03,204613.61,147437.22,57176.39
2025-11,3.16,0.2,2.96,-1.25,43.38,43.38,-13.24,211070.61,147724.73,63345.88
2025-12,5.83,0.08,5.75,-1.67,49.81,49.81,-0.38,223368.82,147842.54,75526.28
