Date,Ticker,Side,Pred_Return_%,XGB_Rank_Score,Entry_Date,Entry_Price,Exit_Date,Exit_Price,Exit_Reason,Strategy_Return,Cash_Used,Cash_Gained,Cash_Final,Strategy_Return_%
2024-01-03,ADBE,LONG,1.01,0.0944,2024-01-03,573.465,2024-01-24,605.65,Time Exit,0.04524027390240315,6666.67,301.6,6968.27,4.52
2024-01-11,ALB,LONG,2.46,0.0848,2024-01-11,125.7023,2024-02-01,111.9099,Time Exit,-0.11391302086024313,6666.67,-759.42,5907.25,-11.39
2024-01-16,ALB,LONG,3.4,0.0842,2024-01-16,120.8522,2024-02-05,106.2395,Time Exit,-0.1277803411698808,6666.67,-851.87,5814.8,-12.78
2024-01-30,CI,LONG,3.64,-0.0026,2024-01-30,286.8177,2024-02-20,327.4681,Time Exit,0.1280024281540606,6686.77,855.92,7542.7,12.8
2024-01-31,CI,LONG,3.46,-0.0026,2024-01-31,287.5464,2024-02-21,328.2471,Time Exit,0.1347462039435472,6686.77,901.02,7587.79,13.47
2024-02-16,CHTR,LONG,5.1,-0.1536,2024-02-16,293.7025,2024-03-08,282.43,Time Exit,-0.06092218246840375,6579.35,-400.83,6178.53,-6.09
2024-03-04,AON,LONG,1.52,-0.1936,2024-03-04,310.2529,2024-03-22,323.4665,Time Exit,0.03723960174463681,6696.48,249.37,6945.86,3.72
2024-03-05,AON,LONG,1.73,-0.1925,2024-03-05,311.0036,2024-03-25,323.8666,Time Exit,0.03424184974217703,6696.48,229.3,6925.78,3.42
2024-03-12,AON,LONG,1.58,-0.2399,2024-03-12,315.3422,2024-04-02,326.0076,Time Exit,0.0321647567198311,6669.76,214.53,6884.29,3.22
2024-03-13,AON,LONG,1.11,-0.2233,2024-03-13,316.2634,2024-04-03,322.3233,Time Exit,0.010526877421283443,6669.76,70.21,6739.97,1.05
2024-03-18,AES,LONG,1.06,-0.2173,2024-03-18,13.4809,2024-04-08,16.4942,Time Exit,0.20483607862524167,6669.76,1366.21,8035.97,20.48
2024-03-19,AES,LONG,1.1,-0.2051,2024-03-19,13.7904,2024-04-09,16.5552,Time Exit,0.2073374336322158,6669.76,1382.89,8052.65,20.73
2024-03-20,DIS,LONG,3.15,-0.3576,2024-03-20,113.1957,2024-04-10,114.612,Time Exit,0.008514777632644632,6669.76,56.79,6726.55,0.85
2024-03-22,BA,LONG,2.78,-0.2438,2024-03-22,189.6825,2024-04-12,171.09,Time Exit,-0.11039502964229542,6686.39,-738.14,5948.24,-11.04
2024-03-25,BA,LONG,2.75,-0.25,2024-03-25,193.275,2024-04-15,169.3175,Time Exit,-0.13336863543765254,6701.67,-893.79,5807.88,-13.34
2024-03-26,BA,LONG,1.9,-0.2489,2024-03-26,189.59,2024-04-16,169.27,Time Exit,-0.11814979225779598,6701.67,-791.8,5909.87,-11.81
2024-03-27,BA,LONG,2.62,-0.2491,2024-03-27,190.2775,2024-04-17,169.795,Time Exit,-0.11541449691676298,6701.67,-773.47,5928.2,-11.54
2024-03-28,BA,LONG,2.65,-0.2489,2024-03-28,192.3925,2024-04-18,170.2125,Time Exit,-0.12352694673361064,6701.67,-827.84,5873.84,-12.35
2024-04-01,BA,LONG,2.15,-0.2485,2024-04-01,190.91,2024-04-19,170.3675,Time Exit,-0.12320811800241116,6701.67,-825.7,5875.97,-12.32
2024-04-16,BA,LONG,2.13,-0.2594,2024-04-16,169.27,2024-05-06,179.48,Time Exit,0.05568831643895944,6746.13,375.68,7121.81,5.57
2024-04-17,BA,LONG,1.39,-0.2505,2024-04-17,169.795,2024-05-07,177.1025,Time Exit,0.04171476137714336,6694.57,279.26,6973.83,4.17
2024-04-18,BA,LONG,1.58,-0.2086,2024-04-18,170.2125,2024-05-08,178.4775,Time Exit,0.04048513676067489,6639.38,268.8,6908.18,4.05
2024-04-19,BA,LONG,1.62,-0.2018,2024-04-19,170.3675,2024-05-09,180.465,Time Exit,0.03441951495045492,6584.33,226.63,6810.96,3.44
2024-04-22,BA,LONG,1.73,-0.1889,2024-04-22,170.1525,2024-05-10,179.89,Time Exit,0.04414874093655685,6584.33,290.69,6875.02,4.41
2024-05-10,COIN,LONG,1.24,-0.1049,2024-05-10,207.6975,2024-05-31,231.195,Time Exit,0.08730910344731457,6680.4,583.26,7263.66,8.73
